Product_id,Order_date,Customer_gender,Customer_country,Category,Subcategory,Actual_price,Discounted_price,Discount_amount,Discount_percentage,Rating,Rating_count,Ranking
B07JW9H4J1,2021-04-01,M,France,Computers&Accessories,Accessories&Peripherals,13.19,4.79,8.399999999999999,64.0,4.2,,Good
B098NS6PVG,2021-07-19,F,Italy,Computers&Accessories,Accessories&Peripherals,4.19,2.39,1.8000000000000003,43.0,4.0,,Average
B096MSW6CT,2021-02-10,F,Japan,Computers&Accessories,Accessories&Peripherals,22.79,2.39,20.4,90.0,3.9,,Average
B08HDJ86NZ,2021-05-16,M,France,Computers&Accessories,Accessories&Peripherals,8.39,3.95,4.44,53.0,4.2,,Good
B08CF3B7N1,2021-04-08,F,Italy,Computers&Accessories,Accessories&Peripherals,4.79,1.85,2.94,61.0,4.2,,Good
B08Y1TFSP6,2021-09-02,F,Spain,Computers&Accessories,Accessories&Peripherals,12.0,1.79,10.21,85.0,3.9,,Average
B08WRWPM22,2021-10-26,M,Spain,Computers&Accessories,Accessories&Peripherals,5.99,2.12,3.87,65.0,4.1,,Good
B08DDRGWTJ,2021-02-25,M,Japan,Computers&Accessories,Accessories&Peripherals,3.59,2.75,0.8399999999999999,23.0,4.3,,Good
B008IFXQFU,2021-03-31,F,USA,Computers&Accessories,NetworkingDevices,11.99,5.99,6.0,50.0,4.2,,Good
B082LZGK39,2021-09-08,F,Portugal,Computers&Accessories,Accessories&Peripherals,3.59,2.39,1.1999999999999997,33.0,4.0,,Average
B08CF3D7QR,2021-02-03,M,UK,Computers&Accessories,Accessories&Peripherals,4.07,1.85,2.22,55.0,4.3,,Good
B0789LZTCJ,2021-12-14,M,UK,Computers&Accessories,Accessories&Peripherals,9.59,3.59,6.0,63.0,4.2,,Good
B07KSMBL2H,2021-08-30,M,UK,Electronics,"HomeTheater,TV&Video",8.4,2.63,5.7700000000000005,69.0,4.4,,Good
B085DTN6R2,2021-08-05,F,France,Computers&Accessories,Accessories&Peripherals,10.79,4.2,6.589999999999999,61.0,4.2,,Good
B09KLVMZ3B,2021-07-31,F,UK,Computers&Accessories,Accessories&Peripherals,4.79,1.91,2.88,60.0,4.1,,Good
B083342NKJ,2021-10-12,M,Spain,Computers&Accessories,Accessories&Peripherals,4.79,4.19,0.5999999999999996,13.0,4.4,,Good
B0B6F7LX4C,2021-01-17,M,Spain,Electronics,"HomeTheater,TV&Video",299.99,167.99,132.0,44.0,4.2,,Good
B082LSVT4B,2021-03-10,F,Italy,Computers&Accessories,Accessories&Peripherals,4.79,2.99,1.7999999999999998,38.0,4.0,,Average
B08WRBG3XW,2021-01-01,F,UK,Computers&Accessories,Accessories&Peripherals,5.99,2.39,3.6,60.0,4.1,,Good
B08DPLCM6T,2021-07-22,M,USA,Electronics,"HomeTheater,TV&Video",263.88,161.88,102.0,39.0,4.3,,Good
B09C6HXFC1,2021-05-05,F,USA,Computers&Accessories,Accessories&Peripherals,21.59,11.64,9.95,46.0,4.5,815.0,Good
B085194JFL,2021-07-16,F,Japan,Electronics,"HomeTheater,TV&Video",5.99,3.35,2.64,44.0,3.7,,Average
B09F6S8BT6,2021-03-14,M,Italy,Electronics,"HomeTheater,TV&Video",274.8,161.88,112.92000000000002,41.0,4.3,,Good
B09NHVCHS9,2021-06-04,M,Italy,Computers&Accessories,Accessories&Peripherals,2.39,0.71,1.6800000000000002,70.0,4.0,,Average
B0B1YVCJ2Y,2021-05-23,M,Portugal,Electronics,"HomeTheater,TV&Video",239.88,137.99,101.88999999999999,42.0,4.3,,Good
B01M4GGIVU,2021-10-03,F,USA,Electronics,"HomeTheater,TV&Video",8.39,2.39,6.0,72.0,4.2,,Good
B08B42LWKN,2021-04-16,M,Spain,Electronics,"HomeTheater,TV&Video",239.99,179.99,60.0,25.0,4.2,,Good
B094JNXNPV,2021-10-04,F,Portugal,Computers&Accessories,Accessories&Peripherals,4.79,3.59,1.2000000000000002,25.0,4.0,,Average
B09W5XR9RT,2021-05-20,F,UK,Computers&Accessories,Accessories&Peripherals,23.99,11.64,12.349999999999998,51.0,4.4,184.0,Good
B077Z65HSD,2021-12-17,M,France,Computers&Accessories,Accessories&Peripherals,11.99,3.59,8.4,70.0,4.3,,Good
B00NH11PEY,2021-12-27,F,France,Computers&Accessories,Accessories&Peripherals,9.0,2.39,6.609999999999999,73.0,4.5,,Good
B09CMM3VGK,2021-10-25,M,UK,Computers&Accessories,Accessories&Peripherals,5.99,2.15,3.8400000000000003,64.0,4.0,,Average
B08QSC1XY8,2021-07-24,M,France,Computers&Accessories,Accessories&Peripherals,13.19,4.67,8.52,65.0,4.3,974.0,Good
B008FWZGSG,2021-01-09,F,Italy,Computers&Accessories,Accessories&Peripherals,7.19,7.19,0.0,0.0,4.3,355.0,Good
B0B4HJNPV4,2021-08-01,F,UK,Computers&Accessories,Accessories&Peripherals,11.99,2.39,9.6,80.0,3.9,,Average
B08Y1SJVV5,2021-08-26,M,Italy,Computers&Accessories,Accessories&Peripherals,8.0,1.19,6.8100000000000005,85.0,3.9,,Average
B07XLCFSSN,2021-07-03,F,Spain,Computers&Accessories,Accessories&Peripherals,22.8,10.79,12.010000000000002,53.0,4.4,,Good
B09RZS1NQT,2021-06-06,F,Spain,Computers&Accessories,Accessories&Peripherals,11.99,2.39,9.6,80.0,4.0,576.0,Average
B0B3MMYHYW,2021-10-24,M,France,Electronics,"HomeTheater,TV&Video",551.99,395.99,156.0,28.0,4.2,,Good
B09C6HWG18,2021-06-24,M,UK,Computers&Accessories,Accessories&Peripherals,23.99,11.64,12.349999999999998,51.0,4.2,462.0,Good
B00NH11KIK,2021-01-22,F,Spain,Computers&Accessories,Accessories&Peripherals,8.34,2.51,5.83,70.0,4.5,,Good
B09JPC82QC,2021-05-25,M,UK,Electronics,"HomeTheater,TV&Video",419.99,239.99,180.0,43.0,4.3,,Good
